bundle	all_requests	all_uniq_ifa	segment_requests	segment_uniq_ifa	segment_ifa_share	requests_share	unique_traffic	format_ratio_f10	format_ratio_f41	mean_wincost_f10	bid_floor_f10	mean_wincost_f41	bid_floor_f41	ad_frequency_f10	ad_frequency_f41	views_app	views_ifa	ctr	categories_iab	categories_google	categories_annie	avg_rate_appstore
703439482	943	128	5	32	0.25	0.005302	5	0.94	0.06	0.005	0.42	0.15	101.62	114296	71121	16	1	0	"[""IAB1"",""IAB9-30""]"	"[{""id"":""926"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""105"",""value"":""0.3""}]"	"[""Family (Games)"",""Games"",""Strategy (Games)""]"	4.5
1031158715	440	251	1	49	0.195219	0.002273	1	1	0	0.005	0.42	0.15	13.5	45932	88126	0	0	0	"[""IAB1"",""IAB19""]"	"[{""id"":""486"",""value"":""0.2""},{""id"":""1397"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""577"",""value"":""0.2""}]"	"[""Entertainment""]"	4.9
1048899076	34	23	1	14	0.608696	0.029412	1	0	1	0.005	0.44	0.15	5.01	91854	19964	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-7""]"	"[{""id"":""927"",""value"":""0.2""},{""id"":""1596"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""105"",""value"":""0.2""}]"	"[""Card (Games)""]"	3.8
1082280681	299	154	2	58	0.376623	0.006689	2	0	1	0.005	0.44	0.15	5.02	91854	74090	2	2	0	"[""IAB9-30""]"	"[{""id"":""105"",""value"":""0.4""},{""id"":""447"",""value"":""0.2""},{""id"":""937"",""value"":""0.2""},{""id"":""926"",""value"":""0.2""}]"	"[""Strategy (Games)""]"	3.6
501686983	67	28	2	11	0.392857	0.029851	2	0.93	0.07	0.005	0.42	0.15	5.01	90719	88126	0	0	0	"[""IAB1"",""IAB19""]"	null	"[""unknown""]"	3.4
587841589	238	48	2	3	0.0625	0.008403	4	0.93	0.07	0.005	0.42	0.15	4.99	107490	35111	0	0	0	"[""IAB1-6"",""IAB5""]"	"[{""id"":""1024"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""1109"",""value"":""0.1""},{""id"":""1028"",""value"":""0.1""},{""id"":""216"",""value"":""0.1""}]"	"[""Music""]"	2.2
905921908	161	101	1	25	0.247525	0.006211	1	0	1	0.005	0.44	0.15	13.5	91854	103864	0	0	0	"[""IAB1"",""IAB9-30""]"	[]	"[""Arcade (Games)"",""Games"",""Simulation (Games)""]"	4.5
1020133524	122	82	1	11	0.134146	0.008197	1	0.77	0.23	0.005	0.44	0.15	5.01	85800	192976	0	0	0	"[""IAB19""]"	"[{""id"":""691"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""694"",""value"":""0.3""}]"	"[""Productivity""]"	1.6
789303927	66	29	1	11	0.37931	0.015152	2	0.88	0.12	0.005	0.42	0.15	13.5	135489	102877	2	1	0	"[""IAB1"",""IAB9-25"",""IAB9-30""]"	"[{""id"":""925"",""value"":""0.2""},{""id"":""937"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""105"",""value"":""0.2""},{""id"":""926"",""value"":""0.1""}]"	"[""Strategy (Games)""]"	3.5
940109775	150	87	1	2	0.022989	0.006667	2	1	0	0.005	0.42	0.15	13.5	48021	88126	0	0	0	"[""IAB18""]"	"[{""id"":""695"",""value"":""0.3""},{""id"":""1358"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""}]"	"[""unknown""]"	4.3
